gre_score,test_score_toefl,undergraduation_score,work_ex,papers_published,ranking,status,technical_skills_score,Logical quotient rating,Hours working per day
316.0,106.0,2.9,9.0,3.0,15.0,accept,82.0,4,9
314.0,114.0,3.53,7.0,3.0,15.0,accept,71.375,7,12
307.0,88.0,3.0,36.0,0.0,15.0,accept,77.625,1,11
330.0,113.0,2.4,48.0,3.0,15.0,accept,77.375,1,7
316.0,99.0,2.71,30.0,0.0,15.0,accept,76.875,5,4
311.0,107.0,3.22,0.0,0.0,15.0,accept,79.0,5,11
306.0,113.0,3.12,12.0,0.0,15.0,accept,79.625,3,6
325.0,106.0,2.65,8.0,3.0,15.0,accept,75.875,2,12
324.0,104.0,3.44,0.0,0.0,15.0,accept,73.0,5,10
317.0,114.0,3.52,4.0,1.0,15.0,accept,73.875,9,10
324.0,108.0,3.12,6.0,2.0,15.0,accept,77.25,6,8
305.0,0.0,3.28,13.0,0.0,15.0,accept,78.375,3,8
324.0,112.0,2.88,8.0,0.0,15.0,accept,64.375,2,8
318.0,102.0,2.8,4.0,0.0,15.0,accept,75.5,5,12
312.0,65.0,3.68,5.0,0.0,15.0,accept,73.875,6,9
319.0,99.0,2.87,30.0,2.0,15.0,accept,69.875,7,4
306.0,100.0,3.56,20.0,0.0,15.0,accept,78.375,7,11
304.0,95.0,2.82,0.0,0.0,15.0,accept,73.5,9,4
306.0,111.0,3.55,0.0,0.0,15.0,accept,79.875,8,12
332.0,115.0,2.75,9.0,0.0,15.0,accept,74.75,6,12
317.0,101.0,3.46,48.0,0.0,15.0,accept,77.0,5,4
309.0,102.0,3.1,33.0,0.0,15.0,accept,74.25,8,5
320.0,99.0,3.3,25.0,3.0,15.0,accept,69.625,9,4
305.0,107.0,2.75,24.0,0.0,15.0,accept,74.25,9,9
323.0,110.0,3.12,12.0,0.0,15.0,accept,80.375,7,4
318.0,104.0,3.47,9.0,3.0,15.0,accept,83.0,5,12
327.0,115.0,3.19,2.0,0.0,15.0,accept,79.125,8,4
320.0,107.0,3.52,41.0,3.0,15.0,accept,80.0,9,12
324.0,110.0,3.64,28.0,0.0,15.0,accept,79.375,1,11
311.0,101.0,3.13,0.0,0.0,15.0,accept,81.625,3,4
318.0,112.0,3.66,36.0,3.0,15.0,accept,77.0,2,4
315.0,106.0,3.76,4.0,0.0,15.0,accept,82.75,5,11
321.0,104.0,2.88,15.0,0.0,15.0,accept,76.25,7,7
317.0,112.0,3.4,11.0,3.0,15.0,accept,73.375,9,10
332.0,114.0,3.28,32.0,2.0,15.0,accept,74.625,8,11
316.0,103.0,3.45,19.0,0.0,15.0,accept,76.125,8,9
313.0,106.0,3.33,0.0,0.0,15.0,accept,77.375,3,11
315.0,100.0,3.0,0.0,0.0,15.0,accept,73.25,8,9
316.0,98.0,3.26,33.0,0.0,15.0,accept,74.375,8,8
319.0,112.0,3.4,0.0,0.0,15.0,accept,79.625,6,10
318.0,108.0,3.8,20.0,3.0,15.0,accept,81.375,5,5
322.0,118.0,3.56,1.0,0.0,15.0,accept,80.25,9,5
312.0,108.0,3.33,2.0,0.0,15.0,accept,68.875,3,5
320.0,107.0,3.5,0.0,3.0,15.0,accept,75.75,7,11
